Month,Year,Activity,ProductionIndex
1,2011,Rubber and Plastic Production,64.8
1,2011,Manufacture of Other Non-metallic Minerals Products,56.0
1,2011,Base Metals Production,161.8
1,2011,"Fabricated Metal Products Production, Except Machinery and Equipment",101.2
1,2011,"Computer, Electronic and Optical Products Production",157.3
1,2011,Electrical Equipment Production,65.8
1,2011,Unmentioned Machinery and Equipment Production,92.4
1,2011,"Motor Vehicles, Trailers and Semi-trailer Production",54.0
1,2011,Other Transport Equipment Production,111.1
1,2011,Furniture Production,73.9
1,2011,Other Manufacturing,41.7
1,2011,Repair and Installation of Machinery Equipment,131.5
1,2011,"Electricity, Gas, Steam and Air Conditioning Supply",116.3
1,2011,B - Mining,92.5
1,2011,C - Manufacturing Industry,77.5
1,2011,"D - Electricity, Gas, Steam and Air Conditioning Supply",116.3
1,2012,Total,83.6
1,2012,Coal Exploitation,113.1
1,2012,Oil and Natural Gas Exploitation,109.8
1,2012,Metal Ore Exploitation,103.0
1,2012,Other Types of Mining,31.6
1,2012,Food Products Production,74.8
1,2012,Drink Production,67.0
1,2012,Tobacoo Products Production,20.7
1,2012,Textile Production,94.5
1,2012,Clothing Production,92.2
1,2012,Leather and Leater Item Production,104.8
1,2012,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",69.3
1,2012,Paper and Paper Products Production,78.0
1,2012,Printing and Duplication of Audio and Video Material,83.1
1,2012,Coke and Refined Petroleum Production,73.5
1,2012,Chemicals and Chemical Products Production,91.5
1,2012,Basic Pharmaceutical Products and Remedies Production,48.6
1,2012,Rubber and Plastic Production,68.6
1,2012,Manufacture of Other Non-metallic Minerals Products,51.9
1,2012,Base Metals Production,113.3
1,2012,"Fabricated Metal Products Production, Except Machinery and Equipment",124.4
1,2012,"Computer, Electronic and Optical Products Production",124.9
1,2012,Electrical Equipment Production,64.2
1,2012,Unmentioned Machinery and Equipment Production,78.9
1,2012,"Motor Vehicles, Trailers and Semi-trailer Production",23.0
1,2012,Other Transport Equipment Production,175.5
1,2012,Furniture Production,69.2
1,2012,Other Manufacturing,49.1
1,2012,Repair and Installation of Machinery Equipment,101.1
1,2012,"Electricity, Gas, Steam and Air Conditioning Supply",123.4
1,2012,B - Mining,101.5
1,2012,C - Manufacturing Industry,71.1
1,2012,"D - Electricity, Gas, Steam and Air Conditioning Supply",123.4
1,2013,Total,85.7
1,2013,Coal Exploitation,123.5
1,2013,Oil and Natural Gas Exploitation,118.4
1,2013,Metal Ore Exploitation,123.7
1,2013,Other Types of Mining,26.3
1,2013,Food Products Production,71.8
