,Year,CountryId,Sector,Exports(tUSD),Imports(tUSD),NetExports(tUSD)
332,2004,EG,Drinks and Tobacco,65.5,0.0,65.5
333,2004,EG,Ineadible Raw Materials Excluding Fuel,814.8,133.1,681.6999999999999
334,2004,EG,"Mineral Fuels, Lubricants and Related Products",0.0,153.3,-153.3
335,2004,EG,Chemical Products and Similar,21.1,970.5,-949.4
336,2004,EG,Manufactured Products Classified by Material,12160.4,653.1,11507.3
337,2004,EG,Machines and Transport Devices,4057.1,226.5,3830.6
338,2004,EG,Other Finished Products,1544.4,317.6,1226.8000000000002
339,2004,EG,Undeclared Products within SITC Rev. 4,17.9,0.0,17.9
340,2004,ER,Food and Livestock,0.0,21.1,-21.1
341,2004,ER,Machines and Transport Devices,0.0,0.7,-0.7
342,2004,ES,Food and Livestock,6856.4,10977.9,-4121.5
343,2004,ES,Drinks and Tobacco,0.0,642.7,-642.7
344,2004,ES,Ineadible Raw Materials Excluding Fuel,3459.5,1942.3,1517.2
345,2004,ES,"Mineral Fuels, Lubricants and Related Products",7.5,77.7,-70.2
346,2004,ES,"Animal and Vegetable Oils, Fats and Waxes",0.0,1084.4,-1084.4
347,2004,ES,Chemical Products and Similar,1878.8,23648.2,-21769.4
348,2004,ES,Manufactured Products Classified by Material,12180.0,29260.4,-17080.4
349,2004,ES,Machines and Transport Devices,8624.0,35797.2,-27173.199999999997
350,2004,ES,Other Finished Products,7503.0,18814.9,-11311.900000000001
351,2004,ES,Undeclared Products within SITC Rev. 4,27.9,74.0,-46.1
352,2004,ET,Food and Livestock,0.0,76.6,-76.6
353,2004,ET,Ineadible Raw Materials Excluding Fuel,0.0,2.6,-2.6
354,2004,ET,Manufactured Products Classified by Material,0.0,0.0,0.0
355,2004,ET,Other Finished Products,0.0,2.7,-2.7
356,2004,EU,Food and Livestock,241.2,0.0,241.2
357,2004,EU,Drinks and Tobacco,0.2,0.0,0.2
358,2004,EU,Ineadible Raw Materials Excluding Fuel,0.0,0.1,-0.1
359,2004,EU,Chemical Products and Similar,0.8,105.2,-104.4
360,2004,EU,Manufactured Products Classified by Material,0.0,106.5,-106.5
361,2004,EU,Machines and Transport Devices,0.0,245.7,-245.7
362,2004,EU,Other Finished Products,0.2,85.4,-85.2
363,2004,FI,Food and Livestock,767.7,145.9,621.8000000000001
364,2004,FI,Drinks and Tobacco,0.0,42.7,-42.7
365,2004,FI,Ineadible Raw Materials Excluding Fuel,0.0,953.1,-953.1
366,2004,FI,"Mineral Fuels, Lubricants and Related Products",0.0,4.1,-4.1
367,2004,FI,Chemical Products and Similar,0.0,5746.3,-5746.3
368,2004,FI,Manufactured Products Classified by Material,692.7,17517.2,-16824.5
369,2004,FI,Machines and Transport Devices,30.3,8850.1,-8819.800000000001
370,2004,FI,Other Finished Products,2292.7,1198.0,1094.6999999999998
371,2004,FI,Undeclared Products within SITC Rev. 4,12.6,25.6,-13.000000000000002
372,2004,FK,Food and Livestock,0.0,1090.3,-1090.3
373,2004,FO,Food and Livestock,0.0,35.2,-35.2
374,2004,FR,Food and Livestock,25952.3,12942.3,13010.0
375,2004,FR,Drinks and Tobacco,723.2,2629.2,-1905.9999999999998
376,2004,FR,Ineadible Raw Materials Excluding Fuel,3270.5,1937.6,1332.9
377,2004,FR,"Mineral Fuels, Lubricants and Related Products",225.4,4906.1,-4680.700000000001
378,2004,FR,"Animal and Vegetable Oils, Fats and Waxes",0.0,203.2,-203.2
379,2004,FR,Chemical Products and Similar,855.1,75504.2,-74649.09999999999
380,2004,FR,Manufactured Products Classified by Material,71937.0,44824.1,27112.9
381,2004,FR,Machines and Transport Devices,12928.0,177115.0,-164187.0
382,2004,FR,Other Finished Products,18338.8,36016.6,-17677.8
